,anio,mes,dia_semana,departamento,edad,causa
anio,1.0,0.009587913612778139,-0.0015586195382514872,0.009555308712182057,0.015077710449932457,-0.02130584518586186
mes,0.009587913612778139,1.0,0.011156235073227981,-0.00017378170200075545,0.010673694428850383,0.005117661243361144
dia_semana,-0.0015586195382514872,0.011156235073227981,1.0,-0.010918605407005589,-0.02608215118617631,0.026579123136848865
departamento,0.009555308712182057,-0.00017378170200075545,-0.010918605407005589,1.0,0.008891356340870146,-0.06535599743624847
edad,0.015077710449932457,0.010673694428850383,-0.02608215118617631,0.008891356340870146,1.0,0.10117383815905016
causa,-0.02130584518586186,0.005117661243361144,0.026579123136848865,-0.06535599743624847,0.10117383815905016,1.0
